CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
08/17/2017,9:44:00 PM,1A,500 EDGEWOOD ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Allendale,-76.67551,39.29285,STREET,1
08/17/2017,6:17:00 PM,1K,1000 W NORTH AV,HOMICIDE,Outside,KNIFE,CENTRAL,Madison Park,-76.63421,39.31028,GAS STATION,1
08/16/2017,10:22:00 AM,1A,2500 PENNSYLVANIA AV,HOMICIDE,Outside,FIREARM,WESTERN,Penn North,-76.64275,39.31022,VEHICLE,1
08/14/2017,12:30:00 PM,1A,1600 ABBOTSTON ST,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Coldstream Homestead Mont,-76.59425,39.32279,STREET,1
08/12/2017,4:39:00 PM,1A,1500 HOLBROOK ST,HOMICIDE,Outside,FIREARM,EASTERN,Oliver,-76.60318,39.3073,VEHICLE,1
08/11/2017,5:26:00 AM,1A,5000 YORK RD,HOMICIDE,Outside,FIREARM,NORTHERN,Radnor-Winston,-76.60971,39.34912,STREET,1
08/11/2017,12:57:00 AM,1A,4100 CHESTERFIELD AV,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Belair-Edison,-76.56161,39.31514,NA,1
08/11/2017,10:02:00 PM,1A,0 N ABINGTON AV,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Carroll-South Hilton,-76.6711,39.28604,STREET,1
08/10/2017,9:30:00 AM,1A,5100 LINDEN HEIGHTS AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Langston Hughes,-76.68204,39.34288,STREET,1
08/08/2017,10:02:00 PM,1A,4500 EDMONDSON AV,HOMICIDE,Inside,FIREARM,SOUTHWESTERN,Rognel Heights,-76.69257,39.2935,COMMON BUSINESS,1
08/08/2017,1:21:00 AM,1A,1600 W FRANKLIN ST,HOMICIDE,Outside,FIREARM,WESTERN,Harlem Park,-76.64288,39.29403,STREET,1
08/07/2017,1:07:00 AM,1A,1700 RUXTON AV,HOMICIDE,Outside,FIREARM,WESTERN,Coppin Heights/Ash-Co-Eas,-76.65503,39.30774,STREET,1
08/05/2017,9:57:00 PM,1A,1600 GERTRUDE ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Northwest Community Actio,-76.66456,39.30605,STREET,1
08/05/2017,5:00:00 PM,1A,1200 SARGEANT ST,HOMICIDE,Outside,FIREARM,SOUTHERN,Washington Village/Pigtow,-76.63455,39.2821,STREET,1
08/02/2017,9:55:00 PM,1A,2500 FRANCIS ST,HOMICIDE,Outside,FIREARM,WESTERN,Penn North,-76.64216,39.31283,STREET,1
08/02/2017,10:33:00 PM,1K,3500 PULASKI HWY,HOMICIDE,Outside,KNIFE,SOUTHEASTERN,Baltimore Highlands,-76.56868,39.29613,STREET,1
08/01/2017,5:04:00 PM,1A,900 ABBOTT CT,HOMICIDE,Outside,FIREARM,EASTERN,Oldtown,-76.60381,39.30126,STREET,1
08/01/2017,1:05:00 AM,1A,2600 E MADISON ST,HOMICIDE,Outside,FIREARM,EASTERN,Madison-Eastend,-76.58089,39.29999,STREET,1
07/30/2017,12:48:00 PM,1A,4300 PENNINGTON AV,HOMICIDE,Outside,FIREARM,SOUTHERN,Curtis Bay,-76.58863,39.22675,STREET,1
07/29/2017,9:01:00 PM,1A,2300 MOSHER ST,HOMICIDE,Outside,FIREARM,WESTERN,Bridgeview/Greenlawn,-76.65412,39.29961,ALLEY,1
07/28/2017,12:45:00 PM,1A,4200 FLOWERTON RD,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Rognel Heights,-76.68681,39.29847,STREET,1
07/27/2017,6:44:00 PM,1A,4600 BELVIEU AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Howard Park,-76.69786,39.33872,VEHICLE,1
07/26/2017,4:05:00 PM,1A,1200 GREENMOUNT AV,HOMICIDE,Outside,FIREARM,EASTERN,Johnston Square,-76.60798,39.30384,STREET,1
07/25/2017,5:27:00 PM,1A,5400 PRICE AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Woodmere,-76.68696,39.34755,STREET,1
07/25/2017,12:57:00 PM,1A,2900 BELMONT AV,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Rosemont,-76.66644,39.30344,DWELLING,1
07/25/2017,1:00:00 AM,1A,4900 GREENSPRING AV,HOMICIDE,Outside,FIREARM,NORTHERN,Cylburn,-76.65933,39.3492,STREET,1
